APP 1_double-auction
id,optionValues,textMarkerBegin,textMarkerEnd,numPeriods,description,keyComparisons,waitForAll,groupMatchingType,groupSize,numGroups,finished,mode,periodsText,tradingTime,endowments,divs
double-auction,{},"{","}",15,"Shares are traded for experimental currency in a double auction. Shares pay random dividends every period. At the end of the game, shares are worth nothing. Reference: <a target=\"_blank\" href=\"https://www.jstor.org/stable/1911361\">Smith, Suchanek and Williams, 1988</a>.",[],true,"STRANGER",,,true,"paid","",12,[{"cash":225,"shares":3},{"cash":945,"shares":1}],[0,8,28,60]
GROUPS
period.id,group.id,dividendDraw
1,1,[60]
2,1,[60]
3,1,[8]
4,1,[60]
5,1,[8]
6,1,[28]
7,1,[28]
8,1,[8]
9,1,[60]
10,1,[28]
11,1,[8]
12,1,[8]
13,1,[8]
14,1,[8]
15,1,[60]
OFFERS
period.id,group.id,id,
PLAYERS
period.id,group.id,participant.id,idInGroup,points,cash,shares,dividends
1,1,P2,1,0,1005,1,60
1,1,P4,2,0,405,3,180
1,1,P3,3,0,1005,1,60
1,1,P1,4,0,405,3,180
2,1,P4,1,0,585,3,180
2,1,P2,2,0,1065,1,60
2,1,P1,3,0,585,3,180
2,1,P3,4,0,1065,1,60
3,1,P3,1,0,1073,1,8
3,1,P1,2,0,609,3,24
3,1,P2,3,0,1073,1,8
3,1,P4,4,0,609,3,24
4,1,P4,1,0,789,3,180
4,1,P2,2,0,1133,1,60
4,1,P1,3,0,789,3,180
4,1,P3,4,0,1133,1,60
5,1,P1,1,0,813,3,24
5,1,P2,2,0,1141,1,8
5,1,P3,3,0,1141,1,8
5,1,P4,4,0,813,3,24
6,1,P2,1,0,1169,1,28
6,1,P4,2,0,897,3,84
6,1,P3,3,0,1169,1,28
6,1,P1,4,0,897,3,84
7,1,P3,1,0,1197,1,28
7,1,P1,2,0,981,3,84
7,1,P2,3,0,1197,1,28
7,1,P4,4,0,981,3,84
8,1,P4,1,0,1005,3,24
8,1,P3,2,0,1205,1,8
8,1,P2,3,0,1205,1,8
8,1,P1,4,0,1005,3,24
9,1,P2,1,0,1265,1,60
9,1,P4,2,0,1185,3,180
9,1,P3,3,0,1265,1,60
9,1,P1,4,0,1185,3,180
10,1,P4,1,0,1269,3,84
10,1,P1,2,0,1269,3,84
10,1,P2,3,0,1293,1,28
10,1,P3,4,0,1293,1,28
11,1,P1,1,0,1293,3,24
11,1,P4,2,0,1293,3,24
11,1,P2,3,0,1301,1,8
11,1,P3,4,0,1301,1,8
12,1,P2,1,0,1309,1,8
12,1,P4,2,0,1317,3,24
12,1,P3,3,0,1309,1,8
12,1,P1,4,0,1317,3,24
13,1,P4,1,0,1341,3,24
13,1,P1,2,0,1341,3,24
13,1,P3,3,0,1317,1,8
13,1,P2,4,0,1317,1,8
14,1,P4,1,0,1365,3,24
14,1,P3,2,0,1325,1,8
14,1,P2,3,0,1325,1,8
14,1,P1,4,0,1365,3,24
15,1,P4,1,1545,1545,3,180
15,1,P3,2,1385,1385,1,60
15,1,P2,3,1385,1385,1,60
15,1,P1,4,1545,1545,3,180
PARTICIPANTS
id,points
P1,1545
P2,1385
P3,1385
P4,1545
