APP 1_public-good
id,optionValues,numPeriods,description,keyComparisons,waitForAll,groupMatchingType,groupSize,numGroups,finished,endowment,factor
public-good,{},3,"No description provided.",[],true,"STRANGER",4,,true,20,2
GROUPS
period.id,group.id,contributions,production
1,1,49,98
1,2,38,76
1,3,51,102
1,4,26,52
1,5,30,60
1,6,33,66
1,7,41,82
1,8,37,74
2,1,56,112
2,2,47,94
2,3,43,86
2,4,41,82
2,5,69,138
2,6,45,90
2,7,36,72
2,8,17,34
3,1,55,110
3,2,36,72
3,3,47,94
3,4,41,82
3,5,46,92
3,6,41,82
3,7,49,98
3,8,26,52
PLAYERS
period.id,group.id,participant.id,idInGroup,points,contribution
1,1,192.168.1.125,1,25.5,19
1,1,192.168.1.108,2,40.5,4
1,1,192.168.1.127,3,26.5,18
1,1,192.168.1.117,4,36.5,8
1,2,192.168.1.130,1,37,2
1,2,192.168.1.132,2,26,13
1,2,192.168.1.124,3,22,17
1,2,192.168.1.106,4,33,6
1,3,192.168.1.102,1,35.5,10
1,3,192.168.1.131,2,27.5,18
1,3,192.168.1.126,3,32.5,13
1,3,192.168.1.113,4,35.5,10
1,4,192.168.1.120,1,29,4
1,4,192.168.1.101,2,25,8
1,4,192.168.1.109,3,23,10
1,4,192.168.1.122,4,29,4
1,5,192.168.1.121,1,22,13
1,5,192.168.1.104,2,34,1
1,5,192.168.1.107,3,27,8
1,5,192.168.1.110,4,27,8
1,6,192.168.1.112,1,21.5,15
1,6,192.168.1.114,2,36.5,0
1,6,192.168.1.123,3,31.5,5
1,6,192.168.1.128,4,23.5,13
1,7,192.168.1.116,1,28.5,12
1,7,192.168.1.105,2,30.5,10
1,7,192.168.1.115,3,22.5,18
1,7,192.168.1.111,4,39.5,1
1,8,192.168.1.119,1,26.5,12
1,8,192.168.1.103,2,30.5,8
1,8,192.168.1.129,3,36.5,2
1,8,192.168.1.118,4,23.5,15
2,1,192.168.1.107,1,34,14
2,1,192.168.1.132,2,30,18
2,1,192.168.1.115,3,38,10
2,1,192.168.1.117,4,34,14
2,2,192.168.1.129,1,32.5,11
2,2,192.168.1.130,2,34.5,9
2,2,192.168.1.127,3,28.5,15
2,2,192.168.1.126,4,31.5,12
2,3,192.168.1.108,1,21.5,20
2,3,192.168.1.124,2,36.5,5
2,3,192.168.1.116,3,34.5,7
2,3,192.168.1.110,4,30.5,11
2,4,192.168.1.122,1,21.5,19
2,4,192.168.1.128,2,21.5,19
2,4,192.168.1.131,3,38.5,2
2,4,192.168.1.120,4,39.5,1
2,5,192.168.1.119,1,41.5,13
2,5,192.168.1.112,2,37.5,17
2,5,192.168.1.103,3,34.5,20
2,5,192.168.1.109,4,35.5,19
2,6,192.168.1.102,1,25.5,17
2,6,192.168.1.123,2,41.5,1
2,6,192.168.1.105,3,27.5,15
2,6,192.168.1.101,4,30.5,12
2,7,192.168.1.113,1,27,11
2,7,192.168.1.121,2,31,7
2,7,192.168.1.118,3,34,4
2,7,192.168.1.114,4,24,14
2,8,192.168.1.104,1,25.5,3
2,8,192.168.1.106,2,28.5,0
2,8,192.168.1.125,3,20.5,8
2,8,192.168.1.111,4,22.5,6
3,1,192.168.1.104,1,40.5,7
3,1,192.168.1.110,2,28.5,19
3,1,192.168.1.128,3,36.5,11
3,1,192.168.1.101,4,29.5,18
3,2,192.168.1.102,1,23,15
3,2,192.168.1.113,2,32,6
3,2,192.168.1.112,3,32,6
3,2,192.168.1.121,4,29,9
3,3,192.168.1.125,1,36.5,7
3,3,192.168.1.107,2,26.5,17
3,3,192.168.1.108,3,25.5,18
3,3,192.168.1.117,4,38.5,5
3,4,192.168.1.115,1,34.5,6
3,4,192.168.1.103,2,28.5,12
3,4,192.168.1.109,3,26.5,14
3,4,192.168.1.130,4,31.5,9
3,5,192.168.1.105,1,29,14
3,5,192.168.1.131,2,29,14
3,5,192.168.1.123,3,39,4
3,5,192.168.1.132,4,29,14
3,6,192.168.1.111,1,34.5,6
3,6,192.168.1.124,2,31.5,9
3,6,192.168.1.120,3,23.5,17
3,6,192.168.1.118,4,31.5,9
3,7,192.168.1.114,1,41.5,3
3,7,192.168.1.122,2,30.5,14
3,7,192.168.1.127,3,27.5,17
3,7,192.168.1.106,4,29.5,15
3,8,192.168.1.129,1,20,13
3,8,192.168.1.116,2,32,1
3,8,192.168.1.119,3,26,7
3,8,192.168.1.126,4,28,5
PARTICIPANTS
id,points
192.168.1.128,81.5
192.168.1.102,84
192.168.1.121,82
192.168.1.117,109
192.168.1.115,95
192.168.1.112,91
192.168.1.106,91
192.168.1.108,87.5
192.168.1.126,92
192.168.1.119,94
192.168.1.130,103
192.168.1.105,87
192.168.1.110,86
192.168.1.116,95
192.168.1.122,81
192.168.1.118,89
192.168.1.120,92
192.168.1.131,95
192.168.1.111,96.5
192.168.1.125,82.5
192.168.1.114,102
192.168.1.101,85
192.168.1.127,82.5
192.168.1.132,85
192.168.1.124,90
192.168.1.107,87.5
192.168.1.104,100
192.168.1.109,85
192.168.1.113,94.5
192.168.1.129,89
192.168.1.103,93.5
192.168.1.123,112
